Archive:  aer_20161214_data.zip
Zip file size: 53623786 bytes, number of entries: 1048
-rw-r--r--  2.0 unx 14243948 b- defN 21-Sep-20 11:22 data/ReplicationFiles/Data_Census/Census_Raw/2000/cen00st14com.dta
-rw-r--r--  2.0 unx 304132846 b- defN 21-Sep-20 11:23 data/ReplicationFiles/Data_Census/Census_Raw/2000/cen00st23com.dta
-rw-r--r--  2.0 unx 1433612084 b- defN 21-Sep-20 11:23 data/ReplicationFiles/Data_Census/Census_Raw/2000/cen00st35com.dta
-rw-r--r--  2.0 unx 19044162 b- defN 21-Sep-20 11:22 data/ReplicationFiles/Data_Census/Census_Raw/2000/cen00st16com.dta
-rw-r--r--  2.0 unx 244201536 b- defN 21-Sep-20 11:23 data/ReplicationFiles/Data_Census/Census_Raw/2000/cen00st21com.dta
-rw-r--r--  2.0 unx 87281890 b- defN 21-Sep-20 11:23 data/ReplicationFiles/Data_Census/Census_Raw/2000/cen00st50com.dta
-rw-r--r--  2.0 unx 819412591 b- defN 21-Sep-20 11:23 data/ReplicationFiles/Data_Census/Census_Raw/2000/cen00st31com.dta
-rw-r--r--  2.0 unx 120949912 b- defN 21-Sep-20 11:22 data/ReplicationFiles/Data_Census/Census_Raw/2000/cen00st27com.dta
-rw-r--r--  2.0 unx 24277532 b- defN 21-Sep-20 11:22 data/ReplicationFiles/Data_Census/Census_Raw/2000/cen00st12com.dta
-rw-r--r--  2.0 unx 215708901 b- defN 21-Sep-20 11:23 data/ReplicationFiles/Data_Census/Census_Raw/2000/cen00st52com.dta
-rw-r--r--  2.0 unx 78810593 b- defN 21-Sep-20 11:22 data/ReplicationFiles/Data_Census/Census_Raw/2000/cen00st28com.dta
-rw-r--r--  2.0 unx 533653969 b- defN 21-Sep-20 11:23 data/ReplicationFiles/Data_Census/Census_Raw/2000/cen00st33com.dta
-rw-r--r--  2.0 unx 167376913 b- defN 21-Sep-20 11:23 data/ReplicationFiles/Data_Census/Census_Raw/2000/cen00st25com.dta
-rw-r--r--  2.0 unx  9183217 b- defN 21-Sep-20 11:22 data/ReplicationFiles/Data_Census/Census_Raw/1980/cen80st12.dta
-rw-r--r--  2.0 unx 108582767 b- defN 21-Sep-20 11:22 data/ReplicationFiles/Data_Census/Census_Raw/1980/cen80st15.dta
-rw-r--r--  2.0 unx 309586339 b- defN 21-Sep-20 11:22 data/ReplicationFiles/Data_Census/Census_Raw/1980/cen80st29.dta
-rw-r--r--  2.0 unx 125831911 b- defN 21-Sep-20 11:22 data/ReplicationFiles/Data_Census/Census_Raw/1980/cen80st52.dta
-rw-r--r--  2.0 unx 64726339 b- defN 21-Sep-20 11:22 data/ReplicationFiles/Data_Census/Census_Raw/1980/cen80st27.dta
-rw-r--r--  2.0 unx 254210227 b- defN 21-Sep-20 11:22 data/ReplicationFiles/Data_Census/Census_Raw/1980/cen80st43.dta
-rw-r--r--  2.0 unx 200812267 b- defN 21-Sep-20 11:22 data/ReplicationFiles/Data_Census/Census_Raw/1980/cen80st26.dta
-rw-r--r--  2.0 unx 127584710 b- defN 21-Sep-20 11:22 data/ReplicationFiles/Data_Census/Census_Raw/1980/cen80st21.dta
-rw-r--r--  2.0 unx 38010054 b- defN 21-Sep-20 11:22 data/ReplicationFiles/Data_Census/Census_Raw/1980/cen80st53.dta
-rw-r--r--  2.0 unx 198939187 b- defN 21-Sep-20 11:22 data/ReplicationFiles/Data_Census/Census_Raw/1980/cen80st31a.dta
-rw-r--r--  2.0 unx 38615815 b- defN 21-Sep-20 11:22 data/ReplicationFiles/Data_Census/Census_Raw/1980/cen80st28.dta
-rw-r--r--  2.0 unx  2399817 b- defN 21-Sep-20 11:22 data/ReplicationFiles/Data_Census/Census_Raw/1980/cen80st14.dta
-rw-r--r--  2.0 unx 44302639 b- defN 21-Sep-20 11:22 data/ReplicationFiles/Data_Census/Census_Raw/1980/cen80st13.dta
-rw-r--r--  2.0 unx 375302803 b- defN 21-Sep-20 11:22 data/ReplicationFiles/Data_Census/Census_Raw/1980/cen80st35a.dta
-rw-r--r--  2.0 unx 202132135 b- defN 21-Sep-20 11:22 data/ReplicationFiles/Data_Census/Census_Raw/1980/cen80st33b.dta
-rw-r--r--  2.0 unx 117722359 b- defN 21-Sep-20 11:22 data/ReplicationFiles/Data_Census/Census_Raw/1980/cen80st42.dta
-rw-r--r--  2.0 unx 164791711 b- defN 21-Sep-20 11:22 data/ReplicationFiles/Data_Census/Census_Raw/1980/cen80st33a.dta
-rw-r--r--  2.0 unx 247651675 b- defN 21-Sep-20 11:22 data/ReplicationFiles/Data_Census/Census_Raw/1980/cen80st41.dta
-rw-r--r--  2.0 unx 67416934 b- defN 21-Sep-20 11:22 data/ReplicationFiles/Data_Census/Census_Raw/1980/cen80st22.dta
-rw-r--r--  2.0 unx 91587744 b- defN 21-Sep-20 11:22 data/ReplicationFiles/Data_Census/Census_Raw/1980/cen80st25.dta
-rw-r--r--  2.0 unx 43346035 b- defN 21-Sep-20 11:22 data/ReplicationFiles/Data_Census/Census_Raw/1980/cen80st50.dta
-rw-r--r--  2.0 unx 240641155 b- defN 21-Sep-20 11:22 data/ReplicationFiles/Data_Census/Census_Raw/1980/cen80st31b.dta
-rw-r--r--  2.0 unx 169080127 b- defN 21-Sep-20 11:22 data/ReplicationFiles/Data_Census/Census_Raw/1980/cen80st35b.dta
-rw-r--r--  2.0 unx 66235759 b- defN 21-Sep-20 11:22 data/ReplicationFiles/Data_Census/Census_Raw/1980/cen80st32.dta
-rw-r--r--  2.0 unx  5490083 b- defN 21-Sep-20 11:22 data/ReplicationFiles/Data_Census/Census_Raw/1980/cen80st16.dta
-rw-r--r--  2.0 unx 14934435 b- defN 21-Sep-20 11:22 data/ReplicationFiles/Data_Census/Census_Raw/1980/cen80st11.dta
-rw-r--r--  2.0 unx 274923931 b- defN 21-Sep-20 11:22 data/ReplicationFiles/Data_Census/Census_Raw/1980/cen80st35c.dta
-rw-r--r--  2.0 unx 34950175 b- defN 21-Sep-20 11:22 data/ReplicationFiles/Data_Census/Census_Raw/1980/cen80st51.dta
-rw-r--r--  2.0 unx 61978469 b- defN 21-Sep-20 11:22 data/ReplicationFiles/Data_Census/Census_Raw/1980/cen80st24.dta
-rw-r--r--  2.0 unx 171280808 b- defN 21-Sep-20 11:22 data/ReplicationFiles/Data_Census/Census_Raw/1980/cen80st23.dta
-rw-r--r--  2.0 unx  6153592 b- defN 21-Sep-20 11:23 data/ReplicationFiles/Data_Census/Census_Raw/1970/CENSO70_DF.dta
-rw-r--r--  2.0 unx 22269890 b- defN 21-Sep-20 11:23 data/ReplicationFiles/Data_Census/Census_Raw/1970/CENSO70_SE.dta
-rw-r--r--  2.0 unx 166463538 b- defN 21-Sep-20 11:23 data/ReplicationFiles/Data_Census/Census_Raw/1970/CENSO70_PR.dta
-rw-r--r--  2.0 unx 417568128 b- defN 21-Sep-20 11:23 data/ReplicationFiles/Data_Census/Census_Raw/1970/CENSO70_SP.dta
-rw-r--r--  2.0 unx 275734518 b- defN 21-Sep-20 11:23 data/ReplicationFiles/Data_Census/Census_Raw/1970/CENSO70_MG.dta
-rw-r--r--  2.0 unx 39401322 b- defN 21-Sep-20 11:23 data/ReplicationFiles/Data_Census/Census_Raw/1970/CENSO70_PI.dta
-rw-r--r--  2.0 unx 116245788 b- defN 21-Sep-20 11:23 data/ReplicationFiles/Data_Census/Census_Raw/1970/CENSO70_RJ.dta
-rw-r--r--  2.0 unx 99458628 b- defN 21-Sep-20 11:23 data/ReplicationFiles/Data_Census/Census_Raw/1970/CENSO70_GB.dta
-rw-r--r--  2.0 unx 52017517 b- defN 21-Sep-20 11:23 data/ReplicationFiles/Data_Census/Census_Raw/1970/CENSO70_PA.dta
-rw-r--r--  2.0 unx 65670378 b- defN 21-Sep-20 11:23 data/ReplicationFiles/Data_Census/Census_Raw/1970/CENSO70_MA.dta
-rw-r--r--  2.0 unx 107256768 b- defN 21-Sep-20 11:23 data/ReplicationFiles/Data_Census/Census_Raw/1970/CENSO70_CE.dta
-rw-r--r--  2.0 unx 70364868 b- defN 21-Sep-20 11:23 data/ReplicationFiles/Data_Census/Census_Raw/1970/CENSO70_SC.dta
-rw-r--r--  2.0 unx 37739692 b- defN 21-Sep-20 11:23 data/ReplicationFiles/Data_Census/Census_Raw/1970/CENSO70_MT.dta
-rw-r--r--  2.0 unx 38818639 b- defN 21-Sep-20 11:23 data/ReplicationFiles/Data_Census/Census_Raw/1970/CENSO70_ES.dta
-rw-r--r--  2.0 unx  2548052 b- defN 21-Sep-20 11:23 data/ReplicationFiles/Data_Census/Census_Raw/1970/CENSO70_AP.dta
-rw-r--r--  2.0 unx  2705924 b- defN 21-Sep-20 11:23 data/ReplicationFiles/Data_Census/Census_Raw/1970/CENSO70_RO.dta
-rw-r--r--  2.0 unx    42360 b- defN 21-Sep-20 11:23 data/ReplicationFiles/Data_Census/Census_Raw/1970/CENSO70_FN.dta
-rw-r--r--  2.0 unx 159184788 b- defN 21-Sep-20 11:23 data/ReplicationFiles/Data_Census/Census_Raw/1970/CENSO70_RS.dta
-rw-r--r--  2.0 unx 36695722 b- defN 21-Sep-20 11:23 data/ReplicationFiles/Data_Census/Census_Raw/1970/CENSO70_AL.dta
-rw-r--r--  2.0 unx 124391238 b- defN 21-Sep-20 11:23 data/ReplicationFiles/Data_Census/Census_Raw/1970/CENSO70_PE.dta
-rw-r--r--  2.0 unx 57061608 b- defN 21-Sep-20 11:23 data/ReplicationFiles/Data_Census/Census_Raw/1970/CENSO70_PB.dta
-rw-r--r--  2.0 unx 70074618 b- defN 21-Sep-20 11:23 data/ReplicationFiles/Data_Census/Census_Raw/1970/CENSO70_GO.dta
-rw-r--r--  2.0 unx 22573024 b- defN 21-Sep-20 11:23 data/ReplicationFiles/Data_Census/Census_Raw/1970/CENSO70_AM.dta
-rw-r--r--  2.0 unx   957804 b- defN 21-Sep-20 11:23 data/ReplicationFiles/Data_Census/Census_Raw/1970/CENSO70_RR.dta
-rw-r--r--  2.0 unx  5281508 b- defN 21-Sep-20 11:23 data/ReplicationFiles/Data_Census/Census_Raw/1970/CENSO70_AC.dta
-rw-r--r--  2.0 unx 185926218 b- defN 21-Sep-20 11:23 data/ReplicationFiles/Data_Census/Census_Raw/1970/CENSO70_BA.dta
-rw-r--r--  2.0 unx 38731953 b- defN 21-Sep-20 11:23 data/ReplicationFiles/Data_Census/Census_Raw/1970/CENSO70_RN.dta
-rw-r--r--  2.0 unx 100975403 b- defN 21-Sep-20 11:23 data/ReplicationFiles/Data_Census/Census_Raw/2010/CENSO10_TO.dta
-rw-r--r--  2.0 unx 104356716 b- defN 21-Sep-20 11:23 data/ReplicationFiles/Data_Census/Census_Raw/2010/CENSO10_MS.dta
-rw-r--r--  2.0 unx 328870772 b- defN 21-Sep-20 11:23 data/ReplicationFiles/Data_Census/Census_Raw/2010/CENSO10_SC.dta
-rw-r--r--  2.0 unx 145759987 b- defN 21-Sep-20 11:23 data/ReplicationFiles/Data_Census/Census_Raw/2010/CENSO10_MT.dta
-rw-r--r--  2.0 unx 319039366 b- defN 21-Sep-20 11:23 data/ReplicationFiles/Data_Census/Census_Raw/2010/CENSO10_CE.dta
-rw-r--r--  2.0 unx 299087395 b- defN 21-Sep-20 11:23 data/ReplicationFiles/Data_Census/Census_Raw/2010/CENSO10_MA.dta
-rw-r--r--  2.0 unx 274903976 b- defN 21-Sep-20 11:23 data/ReplicationFiles/Data_Census/Census_Raw/2010/CENSO10_PA.dta
-rw-r--r--  2.0 unx 150884548 b- defN 21-Sep-20 11:23 data/ReplicationFiles/Data_Census/Census_Raw/2010/CENSO10_ES.dta
-rw-r--r--  2.0 unx 1376530775 b- defN 21-Sep-20 11:23 data/ReplicationFiles/Data_Census/Census_Raw/2010/CENSO10_SP.dta
-rw-r--r--  2.0 unx 944897443 b- defN 21-Sep-20 11:23 data/ReplicationFiles/Data_Census/Census_Raw/2010/CENSO10_MG.dta
-rw-r--r--  2.0 unx 187207367 b- defN 21-Sep-20 11:23 data/ReplicationFiles/Data_Census/Census_Raw/2010/CENSO10_PI.dta
-rw-r--r--  2.0 unx 487509356 b- defN 21-Sep-20 11:23 data/ReplicationFiles/Data_Census/Census_Raw/2010/CENSO10_PR.dta
-rw-r--r--  2.0 unx 43940204 b- defN 21-Sep-20 11:23 data/ReplicationFiles/Data_Census/Census_Raw/2010/CENSO10_DF.dta
-rw-r--r--  2.0 unx 92533996 b- defN 21-Sep-20 11:23 data/ReplicationFiles/Data_Census/Census_Raw/2010/CENSO10_SE.dta
-rw-r--r--  2.0 unx 431191588 b- defN 21-Sep-20 11:23 data/ReplicationFiles/Data_Census/Census_Raw/2010/CENSO10_RJ.dta
-rw-r--r--  2.0 unx 584702972 b- defN 21-Sep-20 11:23 data/ReplicationFiles/Data_Census/Census_Raw/2010/CENSO10_BA.dta
-rw-r--r--  2.0 unx 160104460 b- defN 21-Sep-20 11:23 data/ReplicationFiles/Data_Census/Census_Raw/2010/CENSO10_RN.dta
-rw-r--r--  2.0 unx 24074943 b- defN 21-Sep-20 11:23 data/ReplicationFiles/Data_Census/Census_Raw/2010/CENSO10_RR.dta
-rw-r--r--  2.0 unx 35351013 b- defN 21-Sep-20 11:23 data/ReplicationFiles/Data_Census/Census_Raw/2010/CENSO10_AC.dta
-rw-r--r--  2.0 unx 111263356 b- defN 21-Sep-20 11:23 data/ReplicationFiles/Data_Census/Census_Raw/2010/CENSO10_AM.dta
-rw-r--r--  2.0 unx 131972720 b- defN 21-Sep-20 11:23 data/ReplicationFiles/Data_Census/Census_Raw/2010/CENSO10_AL.dta
-rw-r--r--  2.0 unx 523478549 b- defN 21-Sep-20 11:23 data/ReplicationFiles/Data_Census/Census_Raw/2010/CENSO10_RS.dta
-rw-r--r--  2.0 unx 73779377 b- defN 21-Sep-20 11:23 data/ReplicationFiles/Data_Census/Census_Raw/2010/CENSO10_RO.dta
-rw-r--r--  2.0 unx 29571226 b- defN 21-Sep-20 11:23 data/ReplicationFiles/Data_Census/Census_Raw/2010/CENSO10_AP.dta
-rw-r--r--  2.0 unx 266590749 b- defN 21-Sep-20 11:23 data/ReplicationFiles/Data_Census/Census_Raw/2010/CENSO10_GO.dta
-rw-r--r--  2.0 unx 336413788 b- defN 21-Sep-20 11:23 data/ReplicationFiles/Data_Census/Census_Raw/2010/CENSO10_PE.dta
-rw-r--r--  2.0 unx 215540425 b- defN 21-Sep-20 11:23 data/ReplicationFiles/Data_Census/Census_Raw/2010/CENSO10_PB.dta
-rw-r--r--  2.0 unx 106079951 b- defN 21-Sep-20 11:24 data/ReplicationFiles/Data_Census/Census_Raw/1991/cen91st21com.dta
-rw-r--r--  2.0 unx 275720175 b- defN 21-Sep-20 11:24 data/ReplicationFiles/Data_Census/Census_Raw/1991/cen91st43.dta
-rw-r--r--  2.0 unx 489336543 b- defN 21-Sep-20 11:23 data/ReplicationFiles/Data_Census/Census_Raw/1991/cen91st31.dta
-rw-r--r--  2.0 unx 465130917 b- defN 21-Sep-20 11:24 data/ReplicationFiles/Data_Census/Census_Raw/1991/cen91st36.dta
-rw-r--r--  2.0 unx  6391991 b- defN 21-Sep-20 11:24 data/ReplicationFiles/Data_Census/Census_Raw/1991/cen91st16com.dta
-rw-r--r--  2.0 unx 72209886 b- defN 21-Sep-20 11:24 data/ReplicationFiles/Data_Census/Census_Raw/1991/cen91st27.dta
-rw-r--r--  2.0 unx 142924055 b- defN 21-Sep-20 11:24 data/ReplicationFiles/Data_Census/Census_Raw/1991/cen91st23com.dta
-rw-r--r--  2.0 unx 309620993 b- defN 21-Sep-20 11:24 data/ReplicationFiles/Data_Census/Census_Raw/1991/cen91st35com.dta
-rw-r--r--  2.0 unx 125484534 b- defN 21-Sep-20 11:24 data/ReplicationFiles/Data_Census/Census_Raw/1991/cen91st52.dta
-rw-r--r--  2.0 unx 363539085 b- defN 21-Sep-20 11:24 data/ReplicationFiles/Data_Census/Census_Raw/1991/cen91st29.dta
-rw-r--r--  2.0 unx 115637903 b- defN 21-Sep-20 11:24 data/ReplicationFiles/Data_Census/Census_Raw/1991/cen91st42com.dta
-rw-r--r--  2.0 unx  4672034 b- defN 21-Sep-20 11:24 data/ReplicationFiles/Data_Census/Census_Raw/1991/cen91st14com.dta
-rw-r--r--  2.0 unx 127210722 b- defN 21-Sep-20 11:24 data/ReplicationFiles/Data_Census/Census_Raw/1991/cen91st15.dta
-rw-r--r--  2.0 unx 11033928 b- defN 21-Sep-20 11:24 data/ReplicationFiles/Data_Census/Census_Raw/1991/cen91st12.dta
-rw-r--r--  2.0 unx 264700910 b- defN 21-Sep-20 11:24 data/ReplicationFiles/Data_Census/Census_Raw/1991/cen91st33com.dta
-rw-r--r--  2.0 unx 39273782 b- defN 21-Sep-20 11:24 data/ReplicationFiles/Data_Census/Census_Raw/1991/cen91st28com.dta
-rw-r--r--  2.0 unx 143985177 b- defN 21-Sep-20 11:24 data/ReplicationFiles/Data_Census/Census_Raw/1991/cen91st42.dta
-rw-r--r--  2.0 unx 86537525 b- defN 21-Sep-20 11:23 data/ReplicationFiles/Data_Census/Census_Raw/1991/cen91st25com.dta
